date,holiday
2012-01-01,New Year's Day
2012-01-06,Epiphany
2012-04-06,Good Friday
2012-04-08,Easter Sunday
2012-04-09,Easter Monday
2012-05-01,May Day
2012-05-17,Ascension Day
2012-05-27,Pentecost
2012-06-22,Midsummer Eve
2012-06-23,Midsummer Day
2012-11-03,All Saints' Day
2012-12-06,Independence Day
2012-12-24,Christmas Eve
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-01-06,Epiphany
2013-03-29,Good Friday
2013-03-31,Easter Sunday
2013-04-01,Easter Monday
2013-05-01,May Day
2013-05-09,Ascension Day
2013-05-19,Pentecost
2013-06-21,Midsummer Eve
2013-06-22,Midsummer Day
2013-11-02,All Saints' Day
2013-12-06,Independence Day
2013-12-24,Christmas Eve
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-01-06,Epiphany
2014-04-18,Good Friday
2014-04-20,Easter Sunday
2014-04-21,Easter Monday
2014-05-01,May Day
2014-05-29,Ascension Day
2014-06-08,Pentecost
2014-06-20,Midsummer Eve
2014-06-21,Midsummer Day
2014-11-01,All Saints' Day
2014-12-06,Independence Day
2014-12-24,Christmas Eve
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-01-06,Epiphany
2015-04-03,Good Friday
2015-04-05,Easter Sunday
2015-04-06,Easter Monday
2015-05-01,May Day
2015-05-14,Ascension Day
2015-05-24,Pentecost
2015-06-19,Midsummer Eve
2015-06-20,Midsummer Day
2015-10-31,All Saints' Day
2015-12-06,Independence Day
2015-12-24,Christmas Eve
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2016-01-01,New Year's Day
2016-01-06,Epiphany
2016-03-25,Good Friday
2016-03-27,Easter Sunday
2016-03-28,Easter Monday
2016-05-01,May Day
2016-05-05,Ascension Day
2016-05-15,Pentecost
2016-06-24,Midsummer Eve
2016-06-25,Midsummer Day
2016-11-05,All Saints' Day
2016-12-06,Independence Day
2016-12-24,Christmas Eve
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2017-01-01,New Year's Day
2017-01-06,Epiphany
2017-04-14,Good Friday
2017-04-16,Easter Sunday
2017-04-17,Easter Monday
2017-05-01,May Day
2017-05-25,Ascension Day
2017-06-04,Pentecost
2017-06-23,Midsummer Eve
2017-06-24,Midsummer Day
2017-11-04,All Saints' Day
2017-12-06,Independence Day
2017-12-24,Christmas Eve
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-01-06,Epiphany
2018-03-30,Good Friday
2018-04-01,Easter Sunday
2018-04-02,Easter Monday
2018-05-01,May Day
2018-05-10,Ascension Day
2018-05-20,Pentecost
2018-06-22,Midsummer Eve
2018-06-23,Midsummer Day
2018-11-03,All Saints' Day
2018-12-06,Independence Day
2018-12-24,Christmas Eve
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-01-06,Epiphany
2019-04-19,Good Friday
2019-04-21,Easter Sunday
2019-04-22,Easter Monday
2019-05-01,May Day
2019-05-30,Ascension Day
2019-06-09,Pentecost
2019-06-21,Midsummer Eve
2019-06-22,Midsummer Day
2019-11-02,All Saints' Day
2019-12-06,Independence Day
2019-12-24,Christmas Eve
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-01-06,Epiphany
2020-04-10,Good Friday
2020-04-12,Easter Sunday
2020-04-13,Easter Monday
2020-05-01,May Day
2020-05-21,Ascension Day
2020-05-31,Pentecost
2020-06-19,Midsummer Eve
2020-06-20,Midsummer Day
2020-10-31,All Saints' Day
2020-12-06,Independence Day
2020-12-24,Christmas Eve
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2021-01-01,New Year's Day
2021-01-06,Epiphany
2021-04-02,Good Friday
2021-04-04,Easter Sunday
2021-04-05,Easter Monday
2021-05-01,May Day
2021-05-13,Ascension Day
2021-05-23,Pentecost
2021-06-25,Midsummer Eve
2021-06-26,Midsummer Day
2021-11-06,All Saints' Day
2021-12-06,Independence Day
2021-12-24,Christmas Eve
2021-12-25,Christmas Day
2021-12-26,Boxing Day
