Hospital Name,Hospital ID
HUSLAB MEILAHTI VERIKESKUS,1
HUSLAB HYVINKÄÄN SAIRAALA VERIKESKUS,2
"PHKS VERIKESKUS, LAHTI",3
TYKSLAB VERIKESKUS,4
HUSLAB JORVIN SAIRAALA VERIKESKUS,5
HUSLAB PEIJAKSEN SAIRAALA VERIKESKUS,6
FIMLAB TAMPERE VERIKESKUS,7
POHJOIS-KYMEN SAIRAALA VERIKESKUS,8
"KYMKS VERIKESKUS, KOTKA",9
SEINÄJOEN KS VERIKESKUS,10
VAASAN KS VERIKESKUS,11
NORDLAB KOKKOLA VERIKESKUS,12
ISLAB KUOPIO VERIKESKUS,13
ISLAB JOENSUU  VERIKESKUS,14
NORDLAB OULU VERIKESKUS,15
NORDLAB ROVANIEMI VERIKESKUS,16
HUSLAB TÖÖLÖN SAIRAALA,17
HUSLAB LOHJAN SAIRAALA VERIKESKUS,18
FIMLAB  HÄMEENLINNA VERIKESKUS,19
"FIMLAB VERIKESKUS, JYVÄSKYLÄ",20
ISLAB MIKKELI VERIKESKUS,21
NORDLAB KEMI VERIKESKUS,22
HUSLAB KIRURGINEN SAIRAALA,23
HUSLAB PORVOON SAIRAALA,24
"SATADIAG VERIKESKUS, PORI",25
"EKKS VERIKESKUS, LAPPEENRANTA",26
"ÅLANDS CENTRALSJUKHUS, MAARIANHAMINA",27
"SAIRAALA LAPPONIA, KEMIJÄRVI",28
HUSLAB KÄTILÖOPISTON SAIRAALA,29
NORDLAB OULASKANGAS VERIKESKUS,30
NORDLAB KAJAANI VERIKESKUS,31
HUSLAB TAMMISAARI,32
YLIVIESKAN TERVEYSKESKUS LABORATORIO,33
SALON ALUESAIRAALA VERIKESKUS,34
ISLAB SAVONLINNA VERIKESKUS,35
LOIMAAN ALUESAIRAALA VERIKESKUS 1.KRS,36
PIETARSAAREN SAIRAALA VERIKESKUS,37
"SATADIAG VERIKESKUS, RAUMA",38
"ORTON, HELSINKI",39
NIVALAN TK LÄÄKEKESKUS,40
ÄHTÄRIN SAIRAALA VERIKESKUS,41
KYS IISALMEN SAIRAALA LABORATORIO,42
"RAAHEN SAIRAALA, NORDLAB",43
"ISLAB PIEKSÄMÄEN LABORATORIO, VERIKESKUS",44
ISLAB VARKAUDEN SAIRAALA VERIKESKUS,45
FOIBOS OY,46
KUUSAMON TK VERIKESKUS,47
DOCRATES OY HELSINKI,48
VAKKA-SUOMEN SAIRAALA VERIKESKUS,49
"FORSSAN SAIRAALA, VERIKESKUS",50
"EIRAN SAIRAALA, HELSINKI",51
PYHÄJÄRVEN  TERVEYSKESKUS,52
HYVINKÄÄN TERVEYSKESKUS LABORATORIO,53
POSION TERVEYSKESKUS,54
TAIVALKOSKEN TERVEYSKESKUS,55
HAAPAJÄRVEN TERVEYSKESKUS,56
SOSIAALI- JA TERVEYSPIIRI HELMI,57
"STELLA OY KOTISAIRAALA, HELSINKI",58
REGION GÄVLEBORG LABORATORIE-,59
"TERVEYSTALO KAMPPI, HELSINKI",60
HUSLAB MALMIN SAIRAALAN LABORATORIO,61
"HELSINGIN YLIOPISTO, FARMASIAN LAITOS",62
