"size","year","mean","sd","median","q25","q75","mode1","mode2"
"large",2013,4.81481481481481,4.16982786065137,4,2,6,2,4
"large",2014,3.68120805369128,2.90982011147546,3,2,5,1,NA
"large",2015,3.97575757575758,3.19374676849857,3,2,6,1,NA
"large",2016,4.25732899022801,3.74282363865899,3,2,6,1,2
"large",2017,4.33846153846154,3.94513657103307,3,1,6,1,NA
"large",2018,4.51038575667656,4.2314770196015,3,2,6,1,NA
"large",2019,3.84806629834254,3.52696131028326,3,1,5,1,NA
"large",2020,3.87272727272727,2.85484996981774,3,2,5,3,NA
"medium",2013,2,0,2,2,2,NA,NA
"medium",2014,2.05,1.19721899973786,2,1.75,2,2,NA
"medium",2015,1.81081081081081,0.700707493174571,2,1,2,2,NA
"medium",2016,2.23255813953488,1.0428260436207,2,2,2,2,NA
"medium",2017,1.74074074074074,0.594370552161152,2,1,2,2,NA
"medium",2018,1.78571428571429,1.10074529825942,2,1,2,1,NA
"medium",2019,1.95833333333333,0.907896118682551,2,1,2,2,NA
"medium",2020,2,0,2,2,2,NA,NA
"small",2014,1.8,0.447213595499958,2,2,2,2,NA
"small",2015,1.5,0.577350269189626,1.5,1,2,NA,NA
"small",2016,2,0,2,2,2,NA,NA
"small",2017,2,1,2,1.5,2,2,NA
"small",2018,2.875,1.35620268186054,2.5,2,3,2,NA
"small",2019,1.66666666666667,0.577350269189626,2,1.5,2,2,NA
"small",2020,3,1.4142135623731,3,2.5,3.5,NA,NA
